conj,infinitive,mode,pess,time
ficaram,ficar,indicativo,eles/elas,pretérito perfeito
ficavam,ficar,indicativo,eles/elas,pretérito imperfeito
ficara,ficar,indicativo,eu,pret. mais-que-perfeito
ficarei,ficar,indicativo,eu,futuro
ficaria,ficar,indicativo,eu,condicional
ficaras,ficar,indicativo,tu,pret. mais-que-perfeito
ficarás,ficar,indicativo,tu,futuro
ficarias,ficar,indicativo,tu,condicional
ficara,ficar,indicativo,ele/ela,pret. mais-que-perfeito
ficará,ficar,indicativo,ele/ela,futuro
ficaria,ficar,indicativo,ele/ela,condicional
ficáramos,ficar,indicativo,nós,pret. mais-que-perfeito
ficaremos,ficar,indicativo,nós,futuro
ficaríamos,ficar,indicativo,nós,condicional
ficáreis,ficar,indicativo,vós,pret. mais-que-perfeito
ficareis,ficar,indicativo,vós,futuro
ficaríeis,ficar,indicativo,vós,condicional
ficaram,ficar,indicativo,eles/elas,pret. mais-que-perfeito
ficarão,ficar,indicativo,eles/elas,futuro
ficariam,ficar,indicativo,eles/elas,condicional
devo,dever,indicativo,eu,presente
devi,dever,indicativo,eu,pretérito perfeito
devia,dever,indicativo,eu,pretérito imperfeito
deves,dever,indicativo,tu,presente
deveste,dever,indicativo,tu,pretérito perfeito
devias,dever,indicativo,tu,pretérito imperfeito
deve,dever,indicativo,ele/ela,presente
deveu,dever,indicativo,ele/ela,pretérito perfeito
devia,dever,indicativo,ele/ela,pretérito imperfeito
devemos,dever,indicativo,nós,presente
devemos,dever,indicativo,nós,pretérito perfeito
devíamos,dever,indicativo,nós,pretérito imperfeito
deveis,dever,indicativo,vós,presente
devestes,dever,indicativo,vós,pretérito perfeito
devíeis,dever,indicativo,vós,pretérito imperfeito
devem,dever,indicativo,eles/elas,presente
deveram,dever,indicativo,eles/elas,pretérito perfeito
deviam,dever,indicativo,eles/elas,pretérito imperfeito
devera,dever,indicativo,eu,pret. mais-que-perfeito
deverei,dever,indicativo,eu,futuro
deveria,dever,indicativo,eu,condicional
deveras,dever,indicativo,tu,pret. mais-que-perfeito
deverás,dever,indicativo,tu,futuro
deverias,dever,indicativo,tu,condicional
devera,dever,indicativo,ele/ela,pret. mais-que-perfeito
deverá,dever,indicativo,ele/ela,futuro
deveria,dever,indicativo,ele/ela,condicional
devêramos,dever,indicativo,nós,pret. mais-que-perfeito
deveremos,dever,indicativo,nós,futuro
deveríamos,dever,indicativo,nós,condicional
devêreis,dever,indicativo,vós,pret. mais-que-perfeito
devereis,dever,indicativo,vós,futuro
deveríeis,dever,indicativo,vós,condicional
deveram,dever,indicativo,eles/elas,pret. mais-que-perfeito
deverão,dever,indicativo,eles/elas,futuro
deveriam,dever,indicativo,eles/elas,condicional
passo,passar,indicativo,eu,presente
passei,passar,indicativo,eu,pretérito perfeito
passava,passar,indicativo,eu,pretérito imperfeito
passas,passar,indicativo,tu,presente
passaste,passar,indicativo,tu,pretérito perfeito
passavas,passar,indicativo,tu,pretérito imperfeito
passa,passar,indicativo,ele/ela,presente
passou,passar,indicativo,ele/ela,pretérito perfeito
passava,passar,indicativo,ele/ela,pretérito imperfeito
passamos,passar,indicativo,nós,presente
passámos / passamos,passar,indicativo,nós,pretérito perfeito
passávamos,passar,indicativo,nós,pretérito imperfeito
passais,passar,indicativo,vós,presente
passastes,passar,indicativo,vós,pretérito perfeito
passáveis,passar,indicativo,vós,pretérito imperfeito
passam,passar,indicativo,eles/elas,presente
passaram,passar,indicativo,eles/elas,pretérito perfeito
passavam,passar,indicativo,eles/elas,pretérito imperfeito
passara,passar,indicativo,eu,pret. mais-que-perfeito
passarei,passar,indicativo,eu,futuro
passaria,passar,indicativo,eu,condicional
passaras,passar,indicativo,tu,pret. mais-que-perfeito
passarás,passar,indicativo,tu,futuro
passarias,passar,indicativo,tu,condicional
passara,passar,indicativo,ele/ela,pret. mais-que-perfeito
passará,passar,indicativo,ele/ela,futuro
passaria,passar,indicativo,ele/ela,condicional
passáramos,passar,indicativo,nós,pret. mais-que-perfeito
passaremos,passar,indicativo,nós,futuro
passaríamos,passar,indicativo,nós,condicional
passáreis,passar,indicativo,vós,pret. mais-que-perfeito
passareis,passar,indicativo,vós,futuro
passaríeis,passar,indicativo,vós,condicional
passaram,passar,indicativo,eles/elas,pret. mais-que-perfeito
passarão,passar,indicativo,eles/elas,futuro
passariam,passar,indicativo,eles/elas,condicional
venho,vir,indicativo,eu,presente
vim,vir,indicativo,eu,pretérito perfeito
vinha,vir,indicativo,eu,pretérito imperfeito
vens,vir,indicativo,tu,presente
vieste,vir,indicativo,tu,pretérito perfeito
vinhas,vir,indicativo,tu,pretérito imperfeito
vem,vir,indicativo,ele/ela,presente
veio,vir,indicativo,ele/ela,pretérito perfeito
vinha,vir,indicativo,ele/ela,pretérito imperfeito
vimos,vir,indicativo,nós,presente
viemos,vir,indicativo,nós,pretérito perfeito
vínhamos,vir,indicativo,nós,pretérito imperfeito
vindes,vir,indicativo,vós,presente
viestes,vir,indicativo,vós,pretérito perfeito
vínheis,vir,indicativo,vós,pretérito imperfeito
vêm,vir,indicativo,eles/elas,presente
vieram,vir,indicativo,eles/elas,pretérito perfeito
vinham,vir,indicativo,eles/elas,pretérito imperfeito
viera,vir,indicativo,eu,pret. mais-que-perfeito
virei,vir,indicativo,eu,futuro
viria,vir,indicativo,eu,condicional
vieras,vir,indicativo,tu,pret. mais-que-perfeito
virás,vir,indicativo,tu,futuro
virias,vir,indicativo,tu,condicional
viera,vir,indicativo,ele/ela,pret. mais-que-perfeito
virá,vir,indicativo,ele/ela,futuro
viria,vir,indicativo,ele/ela,condicional
viéramos,vir,indicativo,nós,pret. mais-que-perfeito
viremos,vir,indicativo,nós,futuro
viríamos,vir,indicativo,nós,condicional
viéreis,vir,indicativo,vós,pret. mais-que-perfeito
vireis,vir,indicativo,vós,futuro
viríeis,vir,indicativo,vós,condicional
vieram,vir,indicativo,eles/elas,pret. mais-que-perfeito
virão,vir,indicativo,eles/elas,futuro
viriam,vir,indicativo,eles/elas,condicional
chego,chegar,indicativo,eu,presente
cheguei,chegar,indicativo,eu,pretérito perfeito
chegava,chegar,indicativo,eu,pretérito imperfeito
chegas,chegar,indicativo,tu,presente
chegaste,chegar,indicativo,tu,pretérito perfeito
chegavas,chegar,indicativo,tu,pretérito imperfeito
chega,chegar,indicativo,ele/ela,presente
chegou,chegar,indicativo,ele/ela,pretérito perfeito
chegava,chegar,indicativo,ele/ela,pretérito imperfeito
chegamos,chegar,indicativo,nós,presente
chegámos / chegamos,chegar,indicativo,nós,pretérito perfeito
chegávamos,chegar,indicativo,nós,pretérito imperfeito
chegais,chegar,indicativo,vós,presente
chegastes,chegar,indicativo,vós,pretérito perfeito
chegáveis,chegar,indicativo,vós,pretérito imperfeito
chegam,chegar,indicativo,eles/elas,presente
chegaram,chegar,indicativo,eles/elas,pretérito perfeito
chegavam,chegar,indicativo,eles/elas,pretérito imperfeito
